x,y,hour,temp,rel_humid,julday
3075000,6695000,15,3.3,84,112
3075000,6695000,18,3.3,85,112
3075000,6695000,21,3.5,86,112
3075000,6695000,0,3.6,86,113
3075000,6695000,3,3.4,86,113
3075000,6695000,6,3.2,86,113
3075000,6695000,9,3.2,85,113
3075000,6695000,12,3.3,84,113
3075000,6695000,15,3.4,84,113
3075000,6695000,18,3.4,85,113
3075000,6695000,21,3.7,86,113
3075000,6695000,0,3.7,86,114
3075000,6695000,3,3.5,86,114
3075000,6695000,6,3.3,86,114
3075000,6695000,9,3.3,86,114
3075000,6695000,12,3.4,84,114
3075000,6695000,15,3.5,84,114
3075000,6695000,18,3.5,85,114
3075000,6695000,21,3.8,86,114
3075000,6695000,0,3.8,86,115
3075000,6695000,3,3.6,86,115
3075000,6695000,6,3.5,86,115
3075000,6695000,9,3.4,86,115
3075000,6695000,12,3.5,84,115
3075000,6695000,15,3.6,84,115
3075000,6695000,18,3.6,85,115
3075000,6695000,21,3.9,86,115
3075000,6695000,0,3.9,86,116
3075000,6695000,3,3.7,86,116
3075000,6695000,6,3.6,86,116
3075000,6695000,9,3.5,86,116
3075000,6695000,12,3.6,84,116
3075000,6695000,15,3.6,84,116
3075000,6695000,18,3.7,85,116
3075000,6695000,21,4.1,86,116
3075000,6695000,0,4,86,117
3075000,6695000,3,3.8,86,117
3075000,6695000,6,3.7,86,117
3075000,6695000,9,3.6,86,117
3075000,6695000,12,3.7,84,117
3075000,6695000,15,3.8,84,117
3075000,6695000,18,3.8,85,117
3075000,6695000,21,4.2,86,117
3075000,6695000,0,4.2,86,118
